id;char;pinyin;translation;hsk_level
590;大大;dà dà;"greatly; enormously; (dialect) dad; uncle";2
591;大多数;dà duō shù;(great) majority;2
592;大海;dà hǎi;"sea; ocean";2
593;大家;dà jiā;"everyone; influential family; great expert";2
594;大量;dà liàng;"great amount; large quantity; bulk; numerous; generous; magnanimous";2
595;大门;dà mén;"entrance; door; gate; large and influential family";2
596;大人;dà ren;"adult; grownup; title of respect toward superiors";2
597;大声;dà shēng;"loud voice; in a loud voice; loudly";2
598;大小;dà xiǎo;"dimension; magnitude; size; measurement; large and small; at any rate; adults and children; consideration of seniority";2
599;大衣;dà yī;"overcoat; topcoat; cloak";2
600;大自然;dà zì rán;nature (the natural world);2
601;带;dài;"band; belt; girdle; ribbon; tire; area; zone; region; to wear; to carry; to take along; to bear (i.e. to have); to lead; to bring; to look after; to raise";2
602;带来;dài lái;"to bring; to bring about; to produce";2
603;单位;dān wèi;"unit (of measure); unit (group of people as a whole); work unit (place of employment, esp. in the PRC prior to economic reform)";2
604;但;dàn;"but; yet; however; only; merely; still";2
605;但是;dàn shì;"but; however";2
606;蛋;dàn;"egg; oval-shaped thing";2
607;当;dāng;"to be; to act as; manage; withstand; when; during; ought; should; match equally; equal; same; obstruct; just at (a time or place); on the spot; right; just at";2
608;当时;dāng shí;"then; at that time; while";2
609;倒;dǎo;"to fall; to collapse; to lie horizontally; to overthrow; to fail; to go bankrupt; to change (trains or buses); to move around; to resell at a profit";2
610;到处;dàochù;everywhere;2
611;倒;dào;"to place upside down; to invert; to pour; to throw out; to move backwards; however; actually; as a matter of fact; contrary to expectation";2
612;道;dào;"road; path; principle; truth; morality; reason; skill; method; Dao (of Daoism); to say; to speak; to talk; classifier for long thin things (rivers, cracks etc), barriers (walls, doors etc), questions (in an exam etc), commands, courses in a meal, steps in a process; (old) administrative division (similar to province in Tang times)";2
613;道理;dào lǐ;"reason; argument; sense; principle; basis; justification";2
614;道路;dào lù;"road; path; way";2
615;得;dé;"to obtain; to get; to gain; to catch (a disease); proper; suitable; proud; contented; to allow; to permit; ready; finished";2
616;得出;dé chū;"to obtain (results); to arrive at (a conclusion)";2
617;的话;de huà;if (coming after a conditional clause);2
618;得;de;structural particle: used after a verb (or adjective as main verb), linking it to following phrase indicating effect, degree, possibility etc;2
619;灯;dēng;"lamp; light; lantern";2
620;等;děng;"class; rank; grade; equal to; same as; to wait for; to await; et cetera; and so on; et al. (and other authors); after; as soon as; once";2
621;等到;děng dào;"to wait until; by the time when (sth is ready etc)";2
622;等于;děng yú;"to equal; to be tantamount to";2
623;低;dī;"low; beneath; to lower (one’s head); to let droop; to hang down; to incline";2
624;地球;dì qiú;the earth;2
625;地铁;dì tiě;"subway; metro";2
626;地铁站;dì tiě zhàn;subway station;2
627;点头;diǎn tóu;to nod;2
628;店;diàn;"inn; shop; store";2
629;掉;diào;"to fall; to drop; to lag behind; to lose; to go missing; to reduce; fall (in prices); to lose (value, weight etc); to wag; to swing; to turn; to change; to exchange; to swap; to show off; to shed (hair); (used after certain verbs to express completion, fulfillment, removal etc)";2
630;东北;dōng běi;"northeast; Northeast China; Manchuria";2
631;东方;dōng fāng;east;2
632;东南;dōng nán;southeast;2
633;冬天;dōng tiān;winter;2
634;懂;dǒng;"to understand; to comprehend";2
635;懂得;dǒng de;"to understand; to know; to comprehend";2
636;动物;dòng wù;animal;2
637;动物园;dòng wù yuán;zoo;2
638;读音;dú yīn;"pronunciation; literary (rather than colloquial) pronunciation of a Chinese character";2
639;度;dù;"to pass; to spend (time); measure; limit; extent; degree of intensity; degree (angles, temperature etc); kilowatt-hour; classifier for events and occurrences";2
640;短;duǎn;"short; brief; to lack; weak point; fault";2
641;短信;duǎn xìn;"text message; SMS";2
642;段;duàn;"paragraph; section; segment; stage (of a process); classifier for stories, periods of time, lengths of thread etc";2
643;队;duì;"squadron; team; group";2
644;队长;duì zhǎng;"captain; team leader";2
645;对;duì;"right; correct; couple; pair; towards; at; for; to face; opposite; to treat (sb a certain way); to match together; to adjust; to fit; to suit; to answer; to reply; classifier: couple";2
646;对话;duì huà;dialogue;2
647;对面;duì miàn;"(sitting) opposite; across (the street); directly in front; to be face to face";2
648;多;duō;"many; much; often; a lot of; numerous; more; in excess; how (to what extent); multi-; Taiwan pr. [duó] when it means “how”";2
649;多久;duō jiǔ;how long?;2
650;多么;duō me;"how (wonderful etc); what (a great idea etc); however (difficult it may be etc); (in interrogative sentences) how (much etc); to what extent";2
651;多数;duō shù;"majority; most";2
652;多云;duō yún;cloudy (meteorology);2
653;而且;ér qiě;"(not only …) but also; moreover; in addition; furthermore";2
654;发;fā;"to send out; to show (one’s feeling); to issue; to develop; to make a bundle of money; classifier for gunshots (rounds)";2
655;发现;fā xiàn;"to find; to discover";2
656;饭馆;fàn guǎn;restaurant;2
657;方便;fāng biàn;"convenient; suitable; to facilitate; to make things easy; having money to spare; (euphemism) to relieve oneself";2
658;方便面;fāng biàn miàn;instant noodles;2
659;方法;fāng fǎ;"method; way; means";2
660;方面;fāng miàn;"respect; aspect; field; side";2
661;方向;fāng xiàng;"direction; orientation; path to follow";2
662;放下;fàng xia;"to lay down; to put down; to let go of; to relinquish; to set aside; to lower (the blinds etc)";2
663;放心;fàng xīn;"to feel relieved; to feel reassured; to be at ease";2
664;分;fēn;"to divide; to separate; to distribute; to allocate; to distinguish (good and bad); part or subdivision";2
665;分开;fēn kāi;"to separate; to part";2
666;分数;fēn shù;"(exam) grade; mark; score; fraction";2
667;分钟;fēn zhōng;minute;2
668;份;fèn;"classifier for gifts, newspaper, magazine, papers, reports, contracts etc; variant of 分[fèn]";2
669;封;fēng;"to confer; to grant; to bestow a title; to seal; classifier for sealed objects, esp. letters";2
670;服务;fú wù;"to serve; service";2
671;复习;fù xí;"to review; revision";2
672;该;gāi;"should; ought to; probably; must be; to deserve; to owe; to be sb’s turn to do sth; that; the above-mentioned";2
673;改;gǎi;"to change; to alter; to transform; to correct";2
